time,Open,High,Low,Close,Volume
2022-01-24,35341.36,37562.85,32901.52,36778.57,275787
2022-01-25,36762.07,37570.86,35696.72,36552.51,200109
2022-01-26,36600.51,38917.67,36305.49,36322.99,197543
2022-01-27,36424.49,37213.66,35493.73,36182.23,174945
2022-01-28,36152.23,37999.6,35907.5,37843.15,170967
2022-01-31,37753.75,38746.9,36618.08,38390.43,121099
2022-02-01,38456.82,39271.92,37965.44,38787.62,137113
2022-02-02,38823.83,38895.39,36555.65,36903.42,146092
2022-02-03,36895.92,37225.92,36246.89,36940.87,137507
2022-02-04,36850.87,40898.61,36780.47,40586.88,132308
2022-02-07,41692.67,44539.2,41469.93,44073.89,134281
2022-02-08,44051.39,45501.12,42673.72,44190.15,136938
2022-02-09,44151.59,44832.7,43113.96,44444.97,100031
2022-02-10,44458.47,45822.21,43162.33,43726.65,149560
2022-02-11,43696.15,44063.52,42019.93,42521.25,140270
2022-02-14,42237.45,42841.52,41509.5,42218.08,115806
2022-02-15,42274.08,44519.01,42262.34,43961.33,112541
2022-02-16,43988.33,44765.68,43295.51,44041.15,123297
2022-02-17,44010.15,44190.03,40042.52,40660.69,145452
2022-02-18,40614.19,40968.36,39407.48,39995.26,135679
2022-02-21,38271.56,39479.75,36990.0,37002.69,194388
2022-02-22,36931.85,38295.33,36321.5,37858.27,202154
2022-02-23,37911.77,39244.21,37371.02,37489.21,125853
2022-02-24,37531.52,39739.02,34297.78,38374.32,245601
2022-02-25,38266.87,39679.48,37722.23,39008.01,170623
2022-02-28,37448.72,41942.17,37286.99,41609.6,185612
2022-03-01,41666.87,44965.83,41649.8,43852.35,178397
2022-03-02,43783.35,45269.6,43310.17,44023.47,154085
2022-03-03,44115.6,44325.1,41770.91,42073.99,136090
2022-03-04,42392.99,42686.77,39036.33,39360.88,155184
2022-03-07,39049.87,39524.93,37132.71,37796.46,160946
2022-03-08,37922.67,39355.04,37830.0,38454.33,170785
2022-03-09,38511.8,42576.29,38470.3,41861.05,125807
2022-03-10,41911.55,42126.45,38499.3,39292.91,149255
2022-03-11,39125.74,40242.51,38202.89,38807.3,128918
2022-03-14,38699.11,39283.55,37500.42,38687.93,118516
2022-03-15,38685.93,39893.2,38058.62,39618.63,120005
2022-03-16,39615.13,41680.19,38760.31,41082.05,161427
2022-03-17,41082.55,41469.89,40469.55,40972.17,84670
2022-03-18,40972.67,42323.02,40131.89,41719.19,88575
2022-03-21,41341.19,41543.75,40480.0,41286.78,94950
2022-03-22,41286.78,43346.42,40848.27,42819.86,90920
