time,Open,High,Low,Close,Volume
2022-11-21,242.01,244.61,241.2,242.12,49641
2022-11-22,243.18,245.23,240.66,245.12,36592
2022-11-23,244.34,248.24,244.24,247.37,39231
2022-11-25,248.07,248.66,246.73,247.49,17013
2022-11-28,246.54,246.54,240.79,241.97,40180
2022-11-29,241.42,242.74,238.19,240.38,52437
2022-11-30,239.84,254.79,239.8,254.6,43903
2022-12-01,253.64,256.08,250.87,254.76,31953
2022-12-02,250.68,256.03,249.75,255.04,46225
2022-12-05,252.55,253.79,248.03,250.37,42987
2022-12-06,251.02,251.82,243.74,245.07,29125
2022-12-07,244.25,246.11,242.14,244.35,44113
2022-12-08,244.55,248.71,243.04,247.48,56881
2022-12-09,245.95,248.27,244.11,245.22,51619
2022-12-12,247.82,252.49,247.8,252.44,34145
2022-12-13,261.94,263.87,253.07,256.98,68879
2022-12-14,257.74,262.56,254.19,257.23,61768
2022-12-15,253.28,253.84,247.31,248.96,55789
2022-12-16,248.73,249.78,243.53,244.45,52725
2022-12-19,244.68,245.13,238.69,240.59,45178
2022-12-20,239.2,242.89,238.4,241.82,61121
2022-12-21,241.76,245.59,240.06,244.16,50926
2022-12-22,241.6,241.77,233.83,238.31,54334
2022-12-23,236.53,238.85,233.9,238.56,47246
2022-12-27,238.67,238.91,235.8,236.98,36533
2022-12-28,237.25,239.7,234.19,234.57,59405
2022-12-29,236.04,241.9,236.03,240.94,44872
2022-12-30,238.56,239.87,236.65,239.83,61891
2023-01-03,242.78,245.7,237.39,239.52,35215
2023-01-04,232.39,232.4,225.95,229.3,44769
2023-01-05,227.15,227.21,221.75,222.27,34012
2023-01-06,222.28,225.74,219.34,224.86,52701
2023-01-09,226.7,231.2,226.36,227.14,31971
2023-01-10,227.8,231.27,227.32,228.77,54241
2023-01-11,231.54,235.77,231.28,235.69,23667
2023-01-12,236.31,239.87,233.54,238.61,34089
2023-01-13,236.36,239.35,234.92,239.22,25642
2023-01-17,237.84,240.88,237.05,240.28,56460
2023-01-18,241.87,242.34,235.5,235.65,49050
2023-01-19,234.72,235.2,230.67,231.66,54630
2023-01-20,235.14,240.7,234.68,240.06,55232
2023-01-23,240.38,245.14,239.62,242.53,55178
2023-01-24,241.91,243.85,240.42,241.83,29773
2023-01-25,234.41,243.17,230.87,240.5,43197
2023-01-26,243.25,248.12,241.99,248.12,55995
2023-01-27,248.34,249.8,246.81,248.13,51840
2023-01-30,245.41,245.44,242.17,242.6,43877
2023-01-31,243.49,247.81,242.88,247.74,39670
2023-02-01,247.69,255.15,245.43,252.58,64937
2023-02-02,259.55,264.66,257.21,264.52,78997
2023-02-03,259.81,264.16,257.07,258.3,77453
2023-02-06,257.09,258.26,254.76,256.92,42351
2023-02-07,260.62,268.76,260.04,267.68,57026
2023-02-08,274.54,276.71,266.2,266.7,53946
2023-02-09,272.49,272.67,262.76,263.53,50671
2023-02-10,262.49,264.04,260.61,263.05,46778
2023-02-13,267.87,274.58,267.14,271.08,42307
2023-02-14,272.0,274.92,269.27,272.03,51086
2023-02-15,268.57,270.7,266.18,269.12,51176
2023-02-16,264.54,266.71,261.87,262.37,64990
2023-02-17,259.22,260.04,255.98,257.84,64484
2023-02-21,254.52,255.46,251.57,252.76,41502
2023-02-22,253.9,254.31,250.32,251.38,60548
2023-02-23,255.11,256.83,250.46,254.89,66781
2023-02-24,250.34,250.84,248.09,249.13,60143
2023-02-27,252.19,252.77,249.38,250.09,45878
2023-02-28,249.28,251.46,248.82,249.65,52268
2023-03-01,249.55,249.81,245.78,246.22,54914
