time,Open,High,Low,Close,Volume
2025-03-21 18:35:00,385.76,385.82,385.35,385.41,57
2025-03-21 18:36:00,385.45,385.52,385.37,385.43,68
2025-03-21 18:37:00,385.47,385.57,385.27,385.27,58
2025-03-21 18:38:00,385.27,385.56,385.27,385.56,41
2025-03-21 18:39:00,385.55,385.66,385.42,385.63,59
2025-03-21 18:40:00,385.55,385.7,385.43,385.59,52
2025-03-21 18:41:00,385.61,385.77,385.61,385.71,21
2025-03-21 18:42:00,385.68,385.76,385.63,385.65,25
2025-03-21 18:43:00,385.68,385.78,385.43,385.52,51
2025-03-21 18:44:00,385.52,385.54,385.31,385.31,59
2025-03-21 18:45:00,385.39,385.68,385.33,385.68,20
2025-03-21 18:46:00,385.7,385.83,385.69,385.81,27
2025-03-21 18:47:00,385.84,386.13,385.81,386.13,37
2025-03-21 18:48:00,386.1,386.13,385.89,385.97,47
2025-03-21 18:49:00,385.99,386.01,385.69,385.69,37
2025-03-21 18:50:00,385.69,385.79,385.64,385.71,40
2025-03-21 18:51:00,385.71,385.81,385.54,385.72,64
2025-03-21 18:52:00,385.7,385.89,385.54,385.57,40
2025-03-21 18:53:00,385.55,385.7,385.54,385.7,32
2025-03-21 18:54:00,385.63,385.76,385.6,385.6,37
2025-03-21 18:55:00,385.59,385.69,385.51,385.66,46
2025-03-21 18:56:00,385.67,385.74,385.55,385.61,34
2025-03-21 18:57:00,385.67,385.94,385.63,385.88,38
2025-03-21 18:58:00,385.88,386.04,385.88,385.97,37
2025-03-21 18:59:00,386.04,386.04,385.92,385.97,40
2025-03-21 19:00:00,385.93,386.03,385.77,385.86,67
2025-03-21 19:01:00,385.83,385.92,385.8,385.8,29
2025-03-21 19:02:00,385.8,385.82,385.55,385.64,34
2025-03-21 19:03:00,385.68,385.68,385.36,385.38,30
2025-03-21 19:04:00,385.37,385.55,385.36,385.53,22
2025-03-21 19:05:00,385.51,385.65,385.43,385.62,35
2025-03-21 19:06:00,385.61,385.72,385.56,385.61,23
2025-03-21 19:07:00,385.63,385.72,385.61,385.65,19
2025-03-21 19:08:00,385.65,385.67,385.61,385.65,18
2025-03-21 19:09:00,385.61,385.65,385.47,385.49,20
2025-03-21 19:10:00,385.49,385.57,385.47,385.55,31
2025-03-21 19:11:00,385.53,385.55,385.2,385.2,26
2025-03-21 19:12:00,385.2,385.32,385.13,385.25,29
2025-03-21 19:13:00,385.25,385.35,385.2,385.2,35
2025-03-21 19:14:00,385.2,385.23,385.0,385.12,42
2025-03-21 19:15:00,385.09,385.18,385.01,385.15,33
2025-03-21 19:16:00,385.15,385.23,385.11,385.23,27
2025-03-21 19:17:00,385.19,385.22,384.98,385.0,25
2025-03-21 19:18:00,385.03,385.07,384.95,385.05,33
2025-03-21 19:19:00,385.03,385.03,384.85,384.87,43
2025-03-21 19:20:00,384.82,384.84,384.71,384.83,26
2025-03-21 19:21:00,384.85,384.96,384.75,384.96,38
2025-03-21 19:22:00,385.03,385.16,384.95,385.06,42
2025-03-21 19:23:00,385.06,385.12,384.96,384.96,46
2025-03-21 19:24:00,384.98,385.08,384.91,384.95,34
2025-03-21 19:25:00,384.96,385.01,384.77,384.84,33
2025-03-21 19:26:00,384.79,384.79,384.62,384.62,34
2025-03-21 19:27:00,384.64,384.64,384.36,384.36,42
2025-03-21 19:28:00,384.41,384.49,384.36,384.49,22
2025-03-21 19:29:00,384.55,384.68,384.49,384.67,24
2025-03-21 19:30:00,384.65,384.68,384.44,384.58,41
2025-03-21 19:31:00,384.6,384.6,384.45,384.47,30
2025-03-21 19:32:00,384.47,384.75,384.39,384.75,40
2025-03-21 19:33:00,384.71,384.85,384.66,384.85,31
2025-03-21 19:34:00,384.87,384.98,384.8,384.86,34
2025-03-21 19:35:00,384.84,384.9,384.8,384.84,19
2025-03-21 19:36:00,384.84,385.13,384.84,385.06,26
2025-03-21 19:37:00,385.04,385.17,385.04,385.15,25
2025-03-21 19:38:00,385.13,385.3,385.11,385.24,26
2025-03-21 19:39:00,385.17,385.5,385.17,385.5,28
2025-03-21 19:40:00,385.5,385.57,385.45,385.57,27
