time,Open,High,Low,Close,Volume
2022-11-21,175.74,176.73,167.49,167.83,33459
2022-11-22,168.08,170.85,166.14,169.85,29335
2022-11-23,173.01,183.58,172.49,183.13,48131
2022-11-25,184.01,184.46,180.61,182.86,22228
2022-11-28,180.41,188.48,179.99,182.91,41383
2022-11-29,184.99,186.35,178.74,180.82,39920
2022-11-30,183.2,194.49,180.59,194.34,42232
2022-12-01,197.19,198.83,191.76,194.72,41291
2022-12-02,192.82,196.21,191.09,194.79,42474
2022-12-05,189.52,191.18,180.54,182.46,44782
2022-12-06,181.91,183.61,175.32,179.87,47456
2022-12-07,176.65,179.36,172.19,174.03,47722
2022-12-08,173.28,175.17,169.02,173.55,45464
2022-12-09,173.61,182.47,173.28,179.08,44397
2022-12-12,177.0,177.27,167.51,167.62,35903
2022-12-13,174.09,174.8,156.9,160.89,50028
2022-12-14,159.9,161.57,155.29,156.78,46843
2022-12-15,153.84,160.83,153.83,157.52,42631
2022-12-16,160.79,160.85,150.02,150.19,41339
2022-12-19,153.99,155.18,145.79,149.9,39504
2022-12-20,146.0,148.42,137.71,137.71,44308
2022-12-21,139.15,141.21,135.88,137.4,37653
2022-12-22,135.78,136.33,122.25,125.25,46727
2022-12-23,125.88,128.59,121.01,123.08,39468
2022-12-27,118.1,119.61,108.74,108.95,58288
2022-12-28,110.68,116.16,108.21,112.7,51442
2022-12-29,119.55,123.54,117.49,121.76,66354
2022-12-30,120.91,124.42,120.39,123.18,70307
2023-01-03,117.81,117.81,104.62,108.03,61404
2023-01-04,109.03,114.57,107.49,113.61,53418
2023-01-05,110.67,111.72,107.16,110.34,76354
2023-01-06,102.69,114.36,101.79,113.05,64596
2023-01-09,118.4,123.49,117.09,119.78,62538
2023-01-10,120.74,122.72,114.97,118.79,51033
2023-01-11,121.56,125.9,120.5,123.2,58290
2023-01-12,122.48,124.09,116.99,123.55,68188
2023-01-13,116.5,122.61,115.58,122.4,49626
2023-01-17,125.43,131.68,125.0,131.4,59283
2023-01-18,136.05,136.27,126.99,128.7,48504
2023-01-19,127.49,129.95,124.29,127.06,66039
2023-01-20,128.44,133.45,127.3,133.36,52732
2023-01-23,135.26,145.32,134.28,143.78,54849
2023-01-24,143.61,146.38,141.07,143.87,47137
2023-01-25,141.25,146.39,138.06,144.28,62847
2023-01-26,160.91,160.94,154.75,160.24,60176
2023-01-27,161.71,180.65,161.15,177.74,76317
2023-01-30,177.79,179.7,166.46,166.57,56429
2023-01-31,163.83,174.25,163.62,173.07,58185
2023-02-01,173.03,183.79,169.97,181.26,68420
2023-02-02,187.72,196.72,182.5,188.04,53164
2023-02-03,183.66,198.97,183.66,190.0,58360
2023-02-06,194.31,197.4,189.9,194.76,48224
2023-02-07,196.0,197.42,189.54,196.84,57642
2023-02-08,195.75,202.8,194.31,201.16,54121
2023-02-09,207.41,213.97,204.73,207.25,71798
2023-02-10,202.65,206.11,192.8,196.72,64466
2023-02-13,193.51,196.25,187.59,194.59,53221
2023-02-14,191.09,209.77,189.44,209.24,63278
2023-02-15,210.85,214.63,206.1,214.03,57361
2023-02-16,211.25,217.6,201.79,202.21,94046
2023-02-17,199.7,208.32,197.47,208.15,97931
2023-02-21,204.86,209.64,197.27,197.32,61977
2023-02-22,198.1,201.95,191.77,200.71,54089
2023-02-23,203.5,205.05,196.31,202.0,63785
2023-02-24,196.66,197.62,192.78,196.7,80140
2023-02-27,201.73,209.38,201.61,207.74,50545
2023-02-28,210.79,211.06,203.71,205.91,48052
2023-03-01,206.61,207.17,198.49,202.6,61293
2023-03-02,186.09,193.7,186.0,190.83,69090
2023-03-03,194.12,200.45,192.87,197.72,46682
2023-03-06,198.0,198.37,192.29,193.72,40559
2023-03-07,191.39,194.17,186.07,187.66,56787
2023-03-08,185.91,186.42,179.99,182.01,54307
2023-03-09,180.25,185.15,172.49,172.85,74936
2023-03-10,174.0,178.25,168.42,173.29,61174
2023-03-13,168.12,177.29,163.91,174.53,76353
2023-03-14,178.57,183.78,178.28,183.37,62579
2023-03-15,181.7,182.29,176.0,180.25,78630
2023-03-16,181.03,185.74,178.84,184.01,51228
2023-03-17,184.92,186.14,177.31,180.02,51704
2023-03-20,178.27,186.41,176.3,183.07,44626
2023-03-21,188.92,197.97,188.32,197.5,51011
2023-03-22,199.45,200.59,191.11,191.11,50730
2023-03-23,195.43,199.28,188.6,192.32,68159
2023-03-24,191.88,192.25,187.14,190.14,47957
2023-03-27,194.17,197.32,189.91,191.7,57201
2023-03-28,191.36,191.61,185.41,189.15,42333
2023-03-29,193.16,195.25,189.43,193.81,50969
2023-03-30,195.67,197.27,194.4,195.2,44264
2023-03-31,197.45,207.76,197.22,207.4,60653
2023-04-03,199.68,202.65,192.18,194.72,66713
2023-04-04,197.27,198.69,190.31,192.63,59905
2023-04-05,190.27,190.62,183.77,185.46,34409
2023-04-06,183.07,186.36,179.77,185.01,25897
2023-04-10,180.12,185.06,176.1,184.44,26515
2023-04-11,186.26,189.16,185.68,186.77,25098
2023-04-12,191.27,191.53,180.33,180.47,29308
2023-04-13,183.19,186.47,180.93,185.81,24541
2023-04-14,183.75,186.23,182.0,184.98,24691
2023-04-17,186.81,189.65,182.69,186.96,24983
2023-04-18,186.66,187.65,183.58,184.3,22386
2023-04-19,178.49,183.48,177.69,180.55,22096
2023-04-20,165.49,169.46,160.55,162.93,26202
2023-04-21,165.29,165.98,161.34,165.02,23006
2023-04-24,164.75,165.62,158.62,162.51,24165
2023-04-25,159.6,163.45,158.76,160.63,23095
2023-04-26,160.26,160.32,153.13,153.63,26386
